"mes","producto_n1","producto_n2","producto_n3","cliente_n1","cliente_n2","cliente_n3"
"2011-05","Long-Sleeve Logo Jersey, L","Road-450 Red, 52","Road-650 Red, 44","Fran?ois Ferrier","Run Liu","Sandra Maynard"
"2011-06","Road-150 Red, 48","Road-150 Red, 44","Road-150 Red, 62","Brenda Fernandez","Abigail Henderson","Danny Gomez"
"2011-07","Mountain Bike Socks, M","Long-Sleeve Logo Jersey, L","AWC Logo Cap","Joseph Cantoni","Phyllis Huntsman","Maxwell Amland"
"2011-08","Mountain Bike Socks, M","AWC Logo Cap","Long-Sleeve Logo Jersey, L","Steven Brown","Richard Bready","Conor Cunningham"
"2011-09","Road-150 Red, 62","Road-150 Red, 48","Road-150 Red, 56","Zachary Martin","Bruce Hernandez","Bruce Navarro"
"2011-10","AWC Logo Cap","Long-Sleeve Logo Jersey, L","Mountain Bike Socks, M","Joseph Cantoni","Ranjit Varkey Chudukatil","Phyllis Huntsman"
"2011-11","Road-150 Red, 48","Road-150 Red, 62","Road-150 Red, 44","Derrick Gomez","Abigail Harris","Carl Deng"
"2011-12","Road-650 Black, 52","Road-150 Red, 56","Mountain Bike Socks, M","James Hendergart","Fran?ois Ferrier","Sandeep Katyal"
"2012-01","Mountain Bike Socks, M","Long-Sleeve Logo Jersey, L","AWC Logo Cap","Reuben D'sa","Joseph Cantoni","Phyllis Huntsman"
"2012-02","Mountain Bike Socks, M","Road-650 Red, 44","Road-150 Red, 56","Ryan Calafato","Mark Hanson","Run Liu"
"2012-03","Long-Sleeve Logo Jersey, L","Mountain Bike Socks, M","AWC Logo Cap","Phyllis Huntsman","Phyllis Allen","John Arthur"
"2012-04","AWC Logo Cap","Long-Sleeve Logo Jersey, L","Mountain Bike Socks, M","Kim Abercrombie","Joy Koski","Joseph Castellucio"
"2012-05","Full-Finger Gloves, L","Long-Sleeve Logo Jersey, L","AWC Logo Cap","Robin McGuigan","Stacey Cereghino","Scott Culp"
"2012-06","Full-Finger Gloves, L","AWC Logo Cap","Long-Sleeve Logo Jersey, L","Mandy Vance","Blaine Dockter","Barbara Calone"
"2012-07","Full-Finger Gloves, L","Long-Sleeve Logo Jersey, L","Full-Finger Gloves, M","Kirk DeGrasse","Jane McCarty","Kevin Liu"
"2012-08","Full-Finger Gloves, L","Women's Tights, L","Women's Tights, S","Janet Gates","Stacey Cereghino","Dave Browning"
"2012-09","Full-Finger Gloves, L","Long-Sleeve Logo Jersey, L","Women's Tights, S","Robert Vessa","Blaine Dockter","Yuping Tian"
"2012-10","Full-Finger Gloves, L","AWC Logo Cap","Long-Sleeve Logo Jersey, L","Andrew Dixon","Joseph Castellucio","Helen Dennis"
"2012-11","Full-Finger Gloves, L","Road-650 Black, 52","Road-650 Red, 44","Dave Browning","Janet Gates","Valerie Hendricks"
"2012-12","Full-Finger Gloves, L","Full-Finger Gloves, M","Road-650 Red, 60","Yuping Tian","Mitch Kennedy","Blaine Dockter"
"2013-01","Full-Finger Gloves, L","AWC Logo Cap","Women's Tights, L","Andrew Dixon","Joseph Castellucio","Kirk DeGrasse"
"2013-02","Full-Finger Gloves, L","Long-Sleeve Logo Jersey, L","Women's Tights, L","Stacey Cereghino","Dave Browning","Valerie Hendricks"
"2013-03","Full-Finger Gloves, L","Full-Finger Gloves, M","Long-Sleeve Logo Jersey, L","Barbara Calone","Patricia Vasquez","Yuping Tian"
"2013-04","Full-Finger Gloves, L","Women's Tights, L","Full-Finger Gloves, M","Kirk DeGrasse","Andrew Dixon","Joseph Castellucio"
"2013-05","Classic Vest, S","Short-Sleeve Classic Jersey, XL","AWC Logo Cap","Raul Casts","Marcia Sultan","Robin McGuigan"
"2013-06","Classic Vest, S","AWC Logo Cap","Short-Sleeve Classic Jersey, XL","Anton Kirilov","Robertson Lee","Lindsey Camacho"
"2013-07","Water Bottle - 30 oz.","AWC Logo Cap","Classic Vest, S","Krishna Sunkammurali","Elizabeth Sullivan","Kirk DeGrasse"
"2013-08","Water Bottle - 30 oz.","AWC Logo Cap","Sport-100 Helmet, Black","Raul Casts","Ryan Danner","Marcia Sultan"
"2013-09","Water Bottle - 30 oz.","AWC Logo Cap","Classic Vest, S","Edward Kozlowski","Anton Kirilov","Roger Harui"
"2013-10","Water Bottle - 30 oz.","AWC Logo Cap","Sport-100 Helmet, Blue","Carlton Carlisle","Jon Grande","Kathleen Garza"
"2013-11","Water Bottle - 30 oz.","AWC Logo Cap","Sport-100 Helmet, Red","Raul Casts","Frank Mart?nez","Valerie Hendricks"
"2013-12","Water Bottle - 30 oz.","AWC Logo Cap","Patch Kit/8 Patches","Edward Kozlowski","Anton Kirilov","Roger Harui"
"2014-01","Water Bottle - 30 oz.","AWC Logo Cap","Patch Kit/8 Patches","Kathleen Garza","Terry Eminhizer","Joseph Castellucio"
"2014-02","Water Bottle - 30 oz.","Mountain Tire Tube","Patch Kit/8 Patches","Eduardo Robinson","Jennifer Washington","Anthony White"
"2014-03","Water Bottle - 30 oz.","Classic Vest, S","AWC Logo Cap","Raul Casts","Edward Kozlowski","Robertson Lee"
"2014-04","Water Bottle - 30 oz.","Patch Kit/8 Patches","Mountain Tire Tube","Diana Ortega","Franklin Xu","Jaclyn Lu"
"2014-05","Water Bottle - 30 oz.","AWC Logo Cap","Sport-100 Helmet, Blue","Carlton Carlisle","Terry Eminhizer","Kirk DeGrasse"
"2014-06","Mountain Tire Tube","Patch Kit/8 Patches","Water Bottle - 30 oz.","Arthur Van","Brandy Chandra","Jamie Zhu"
