"mes","nombrecliente","fechaultcompra","diasuc_pc","diaspc_apc"
"2011-05","Abe Tramel","2011-05-31 00:00:00",NULL,NULL
"2011-05","Abraham Swearengin","2011-05-31 00:00:00",NULL,NULL
"2011-05","Barbara Hoffman","2011-05-31 00:00:00",NULL,NULL
"2011-05","Brenda Heaney","2011-05-31 00:00:00",NULL,NULL
"2011-05","Carla Adams","2011-05-31 00:00:00",NULL,NULL
"2011-05","Carolyn Farino","2011-05-31 00:00:00",NULL,NULL
"2011-05","Charles Christensen","2011-05-31 00:00:00",NULL,NULL
"2011-05","Christy Zhu","2011-05-31 00:00:00",NULL,NULL
"2011-05","Cole Watson","2011-05-31 00:00:00",NULL,NULL
"2011-05","Deanna Buskirk","2011-05-31 00:00:00",NULL,NULL
"2011-05","Douglas Baldwin","2011-05-31 00:00:00",NULL,NULL
"2011-05","Eric Brumfield","2011-05-31 00:00:00",NULL,NULL
"2011-05","Fran?ois Ferrier","2011-05-31 00:00:00",NULL,NULL
"2011-05","Frances Adams","2011-05-31 00:00:00",NULL,NULL
"2011-05","James Hendergart","2011-05-31 00:00:00",NULL,NULL
"2011-05","Jauna Elson","2011-05-31 00:00:00",NULL,NULL
"2011-05","Jean Jordan","2011-05-31 00:00:00",NULL,NULL
"2011-05","Jimmy Bischoff","2011-05-31 00:00:00",NULL,NULL
"2011-05","John Donovan","2011-05-31 00:00:00",NULL,NULL
"2011-05","Judith Frazier","2011-05-31 00:00:00",NULL,NULL
"2011-05","Karren Burkhardt","2011-05-31 00:00:00",NULL,NULL
"2011-05","Mae Black","2011-05-31 00:00:00",NULL,NULL
"2011-05","Mark Hanson","2011-05-31 00:00:00",NULL,NULL
"2011-05","Michael Blythe","2011-05-31 00:00:00",NULL,NULL
"2011-05","Nancy Hirota","2011-05-31 00:00:00",NULL,NULL
"2011-05","Peggy Justice","2011-05-31 00:00:00",NULL,NULL
"2011-05","Phyllis Thomas","2011-05-31 00:00:00",NULL,NULL
"2011-05","Rachael Martinez","2011-05-31 00:00:00",NULL,NULL
"2011-05","Richard Bready","2011-05-31 00:00:00",NULL,NULL
"2011-05","Robin McGuigan","2011-05-31 00:00:00",NULL,NULL
"2011-05","Ruben Prasad","2011-05-31 00:00:00",NULL,NULL
"2011-05","Run Liu","2011-05-31 00:00:00",NULL,NULL
"2011-05","Russell King","2011-05-31 00:00:00",NULL,NULL
"2011-05","Ryan Calafato","2011-05-31 00:00:00",NULL,NULL
"2011-05","Sandeep Katyal","2011-05-31 00:00:00",NULL,NULL
"2011-05","Sandra Maynard","2011-05-31 00:00:00",NULL,NULL
"2011-05","Scott MacDonald","2011-05-31 00:00:00",NULL,NULL
"2011-05","Shane Belli","2011-05-31 00:00:00",NULL,NULL
"2011-05","Stacey Cereghino","2011-05-31 00:00:00",NULL,NULL
"2011-05","Susan French","2011-05-31 00:00:00",NULL,NULL
"2011-05","Sydney Wright","2011-05-31 00:00:00",NULL,NULL
"2011-05","Takiko Collins","2011-05-31 00:00:00",NULL,NULL
"2011-05","Valerie Hendricks","2011-05-31 00:00:00",NULL,NULL
"2011-06","Aaron Collins","2011-06-27 00:00:00",NULL,NULL
"2011-06","Abigail Henderson","2011-06-03 00:00:00",NULL,NULL
"2011-06","Abigail Perry","2011-06-21 00:00:00",NULL,NULL
"2011-06","Albert Alvarez","2011-06-01 00:00:00",NULL,NULL
"2011-06","Albert Blanco","2011-06-06 00:00:00",NULL,NULL
"2011-06","Alejandro Beck","2011-06-08 00:00:00",NULL,NULL
"2011-06","Alexa Sanders","2011-06-24 00:00:00",NULL,NULL
"2011-06","Alexandra Watson","2011-06-04 00:00:00",NULL,NULL
"2011-06","Alexandria Hughes","2011-06-13 00:00:00",NULL,NULL
"2011-06","Allen Garcia","2011-06-25 00:00:00",NULL,NULL
"2011-06","Alyssa Garcia","2011-06-08 00:00:00",NULL,NULL
"2011-06","Andres Lal","2011-06-21 00:00:00",NULL,NULL
"2011-06","Anne Dominguez","2011-06-07 00:00:00",NULL,NULL
"2011-06","Anthony Walker","2011-06-27 00:00:00",NULL,NULL
"2011-06","Arianna Flores","2011-06-29 00:00:00",NULL,NULL
"2011-06","Armando Moreno","2011-06-23 00:00:00",NULL,NULL
"2011-06","Armando Navarro","2011-06-27 00:00:00",NULL,NULL
"2011-06","Arthur Perez","2011-06-18 00:00:00",NULL,NULL
"2011-06","Ashley Washington","2011-06-18 00:00:00",NULL,NULL
"2011-06","Bianca Zheng","2011-06-26 00:00:00",NULL,NULL
"2011-06","Blake Butler","2011-06-23 00:00:00",NULL,NULL
"2011-06","Bonnie Xu","2011-06-06 00:00:00",NULL,NULL
"2011-06","Brad Deng","2011-06-02 00:00:00",NULL,NULL
"2011-06","Brenda Fernandez","2011-06-15 00:00:00",NULL,NULL
"2011-06","Brittany Gonzales","2011-06-23 00:00:00",NULL,NULL
"2011-06","Cameron Thompson","2011-06-20 00:00:00",NULL,NULL
"2011-06","Casey Pal","2011-06-09 00:00:00",NULL,NULL
"2011-06","Cedric Liang","2011-06-14 00:00:00",NULL,NULL
"2011-06","Christian Jackson","2011-06-13 00:00:00",NULL,NULL
"2011-06","Clarence Rai","2011-06-19 00:00:00",NULL,NULL
"2011-06","Clinton Moreno","2011-06-21 00:00:00",NULL,NULL
"2011-06","Colin Anand","2011-06-01 00:00:00",NULL,NULL
"2011-06","Cory Arun","2011-06-10 00:00:00",NULL,NULL
"2011-06","Courtney Carter","2011-06-16 00:00:00",NULL,NULL
"2011-06","Courtney Edwards","2011-06-03 00:00:00",NULL,NULL
"2011-06","Craig Jim?nez","2011-06-30 00:00:00",NULL,NULL
"2011-06","Curtis Lu","2011-06-01 00:00:00",NULL,NULL
"2011-06","Damien Huang","2011-06-18 00:00:00",NULL,NULL
"2011-06","Danny Gomez","2011-06-22 00:00:00",NULL,NULL
"2011-06","Darrell Raji","2011-06-13 00:00:00",NULL,NULL
"2011-06","Dawn Tang","2011-06-26 00:00:00",NULL,NULL
"2011-06","Dominique Garcia","2011-06-26 00:00:00",NULL,NULL
"2011-06","Don Lal","2011-06-21 00:00:00",NULL,NULL
"2011-06","Dustin Lal","2011-06-21 00:00:00",NULL,NULL
"2011-06","Ebony Ashe","2011-06-16 00:00:00",NULL,NULL
"2011-06","Edward Brown","2011-06-02 00:00:00",NULL,NULL
"2011-06","Elizabeth Johnson","2011-06-25 00:00:00",NULL,NULL
"2011-06","Emma Brown","2011-06-02 00:00:00",NULL,NULL
"2011-06","Ernest Lin","2011-06-25 00:00:00",NULL,NULL
"2011-06","Eugene Huang","2011-06-17 00:00:00",NULL,NULL
"2011-06","Evan Bailey","2011-06-18 00:00:00",NULL,NULL
"2011-06","Fernando Thompson","2011-06-25 00:00:00",NULL,NULL
"2011-06","Francis Ramos","2011-06-22 00:00:00",NULL,NULL
"2011-06","Frederick Suri","2011-06-26 00:00:00",NULL,NULL
"2011-06","Gabrielle Jenkins","2011-06-18 00:00:00",NULL,NULL
"2011-06","Garrett Cooper","2011-06-08 00:00:00",NULL,NULL
"2011-06","Haley Ward","2011-06-11 00:00:00",NULL,NULL
"2011-06","Harold Sai","2011-06-25 00:00:00",NULL,NULL
"2011-06","Isabella Green","2011-06-29 00:00:00",NULL,NULL
"2011-06","Isaiah Cox","2011-06-28 00:00:00",NULL,NULL
"2011-06","Ivan Raman","2011-06-21 00:00:00",NULL,NULL
"2011-06","Jack Edwards","2011-06-28 00:00:00",NULL,NULL
"2011-06","Jackson Li","2011-06-15 00:00:00",NULL,NULL
"2011-06","Jacquelyn Suarez","2011-06-16 00:00:00",NULL,NULL
"2011-06","Jaime Gomez","2011-06-22 00:00:00",NULL,NULL
"2011-06","Jaime Sutton","2011-06-30 00:00:00",NULL,NULL
"2011-06","James Flores","2011-06-19 00:00:00",NULL,NULL
"2011-06","Janet Alvarez","2011-06-26 00:00:00",NULL,NULL
"2011-06","Jennifer Young","2011-06-30 00:00:00",NULL,NULL
"2011-06","Jeremiah Martinez","2011-06-11 00:00:00",NULL,NULL
"2011-06","Jeremy Murphy","2011-06-27 00:00:00",NULL,NULL
"2011-06","Jessica Sanchez","2011-06-21 00:00:00",NULL,NULL
"2011-06","Jessie Zhao","2011-06-18 00:00:00",NULL,NULL
"2011-06","Jill Jimenez","2011-06-28 00:00:00",NULL,NULL
"2011-06","Jimmy Moreno","2011-06-21 00:00:00",NULL,NULL
"2011-06","Jon Chander","2011-06-15 00:00:00",NULL,NULL
"2011-06","Jon Yang","2011-06-21 00:00:00",NULL,NULL
"2011-06","Jonathon Gutierrez","2011-06-04 00:00:00",NULL,NULL
"2011-06","Jordyn Simmons","2011-06-26 00:00:00",NULL,NULL
"2011-06","Julio Ruiz","2011-06-01 00:00:00",NULL,NULL
"2011-06","Katelyn Allen","2011-06-27 00:00:00",NULL,NULL
"2011-06","Katrina Raji","2011-06-02 00:00:00",NULL,NULL
"2011-06","Kayla Long","2011-06-14 00:00:00",NULL,NULL
"2011-06","Kelvin Huang","2011-06-07 00:00:00",NULL,NULL
"2011-06","Kelvin Liang","2011-06-12 00:00:00",NULL,NULL
"2011-06","Kevin Gonzalez","2011-06-05 00:00:00",NULL,NULL
"2011-06","Krystal Holt","2011-06-17 00:00:00",NULL,NULL
"2011-06","Latasha Alonso","2011-06-04 00:00:00",NULL,NULL
"2011-06","Latoya Goel","2011-06-21 00:00:00",NULL,NULL
"2011-06","Levi Sai","2011-06-27 00:00:00",NULL,NULL
"2011-06","Lindsey Andersen","2011-06-10 00:00:00",NULL,NULL
"2011-06","Logan Gonzales","2011-06-07 00:00:00",NULL,NULL
"2011-06","Louis Xie","2011-06-05 00:00:00",NULL,NULL
"2011-06","Lucas Hill","2011-06-05 00:00:00",NULL,NULL
"2011-06","Luke Adams","2011-06-13 00:00:00",NULL,NULL
"2011-06","Manuel Fernandez","2011-06-12 00:00:00",NULL,NULL
"2011-06","Marcel Truempy","2011-06-27 00:00:00",NULL,NULL
"2011-06","Marco Mehta","2011-06-11 00:00:00",NULL,NULL
"2011-06","Maria Henderson","2011-06-22 00:00:00",NULL,NULL
"2011-06","Martha Liang","2011-06-16 00:00:00",NULL,NULL
"2011-06","Martha Xu","2011-06-02 00:00:00",NULL,NULL
"2011-06","Mayra Prasad","2011-06-08 00:00:00",NULL,NULL
"2011-06","Melanie Sanchez","2011-06-05 00:00:00",NULL,NULL
"2011-06","Melody Diaz","2011-06-20 00:00:00",NULL,NULL
"2011-06","Melody Ramos","2011-06-10 00:00:00",NULL,NULL
"2011-06","Melvin She","2011-06-20 00:00:00",NULL,NULL
"2011-06","Miguel Martinez","2011-06-28 00:00:00",NULL,NULL
"2011-06","Miranda Alexander","2011-06-30 00:00:00",NULL,NULL
"2011-06","Misty Raji","2011-06-06 00:00:00",NULL,NULL
"2011-06","Misty Yuan","2011-06-30 00:00:00",NULL,NULL
"2011-06","Monique Ramos","2011-06-20 00:00:00",NULL,NULL
"2011-06","Morgan Phillips","2011-06-14 00:00:00",NULL,NULL
"2011-06","Paige Murphy","2011-06-13 00:00:00",NULL,NULL
"2011-06","Patrick Cook","2011-06-08 00:00:00",NULL,NULL
"2011-06","Phillip Sai","2011-06-10 00:00:00",NULL,NULL
